age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,housemaid,married,basic.4y,no,no,no,telephone,May,Mon,261,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
57,services,married,high.school,unknown,no,no,telephone,May,Mon,149,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,services,married,high.school,no,yes,no,telephone,May,Mon,226,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
40,admin.,married,basic.6y,no,no,no,telephone,May,Mon,151,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,services,married,high.school,no,no,yes,telephone,May,Mon,307,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
45,services,married,basic.9y,unknown,no,no,telephone,May,Mon,198,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
59,admin.,married,professional.course,no,no,no,telephone,May,Mon,139,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,blue-collar,married,unknown,unknown,no,no,telephone,May,Mon,217,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
24,technician,single,professional.course,no,yes,no,telephone,May,Mon,380,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
25,services,single,high.school,no,yes,no,telephone,May,Mon,50,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,blue-collar,married,unknown,unknown,no,no,telephone,May,Mon,55,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
25,services,single,high.school,no,yes,no,telephone,May,Mon,222,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
29,blue-collar,single,high.school,no,no,yes,telephone,May,Mon,137,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
57,housemaid,divorced,basic.4y,no,yes,no,telephone,May,Mon,293,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,blue-collar,married,basic.6y,no,yes,no,telephone,May,Mon,146,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,retired,married,basic.9y,unknown,yes,yes,telephone,May,Mon,174,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,blue-collar,married,basic.6y,no,yes,no,telephone,May,Mon,312,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,May,Mon,440,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
50,blue-collar,married,basic.9y,no,yes,yes,telephone,May,Mon,353,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,management,single,basic.9y,unknown,no,no,telephone,May,Mon,195,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
30,unemployed,married,high.school,no,no,no,telephone,May,Mon,38,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,May,Mon,262,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,retired,single,high.school,no,yes,no,telephone,May,Mon,342,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,technician,single,high.school,no,yes,no,telephone,May,Mon,181,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
37,admin.,married,high.school,no,yes,no,telephone,May,Mon,172,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
35,technician,married,university.degree,no,no,yes,telephone,May,Mon,99,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
59,technician,married,unknown,no,yes,no,telephone,May,Mon,93,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
39,self-employed,married,basic.9y,unknown,no,no,telephone,May,Mon,233,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,technician,single,university.degree,unknown,no,no,telephone,May,Mon,255,2,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,unknown,married,university.degree,unknown,unknown,unknown,telephone,May,Mon,362,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
46,admin.,married,unknown,no,no,no,telephone,May,Mon,348,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
59,technician,married,unknown,no,yes,no,telephone,May,Mon,386,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
49,blue-collar,married,unknown,no,no,no,telephone,May,Mon,73,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,management,married,basic.4y,unknown,yes,no,telephone,May,Mon,230,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
54,blue-collar,divorced,basic.4y,no,no,no,telephone,May,Mon,208,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
55,unknown,married,basic.4y,unknown,yes,no,telephone,May,Mon,336,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
34,services,married,high.school,no,no,no,telephone,May,Mon,365,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
52,technician,married,basic.9y,no,yes,no,telephone,May,Mon,1666,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
41,admin.,married,university.degree,no,yes,no,telephone,May,Mon,577,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
56,technician,married,basic.4y,no,yes,no,telephone,May,Mon,137,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
58,management,unknown,university.degree,no,yes,no,telephone,May,Mon,366,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
32,entrepreneur,married,high.school,no,yes,no,telephone,May,Mon,314,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
38,admin.,single,professional.course,no,no,no,telephone,May,Mon,160,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
57,admin.,married,university.degree,no,no,yes,telephone,May,Mon,212,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
44,admin.,married,university.degree,unknown,yes,no,telephone,May,Mon,188,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
42,technician,single,professional.course,unknown,no,no,telephone,May,Mon,22,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
57,admin.,married,university.degree,no,yes,yes,telephone,May,Mon,616,1,nonexistent,1.1,93.994,-36.4,4.857,5191.0,False
